test_date,split,model,threshold,auc,accuracy,return_0fee,return_01bps,n_trades,win_rate,sharpe
2026-01-02,train,LightGBM,0.6/0.4,0.7374565532463628,0.7362543251476906,23.7197753778847,7.6871823834095965,6940,0.5355907780979827,65.61627659264808
2026-01-03,train,XGBoost,0.55/0.45,0.8177092458589101,0.8405247409511529,5.750212670140598,1.1080920828846486,2245,0.5300668151447662,35.721747028921634
2026-01-03,train,XGBoost,0.6/0.4,0.8177092458589101,0.8405247409511529,6.444480736117031,0.9427879399709127,2654,0.4860587792012057,38.917922652604176
2026-01-03,train,LightGBM,0.55/0.45,0.8180752864130209,0.8396498818067477,5.493657512751993,1.0546189291302355,2150,0.5181395348837209,33.134773667961774
2026-01-03,train,LightGBM,0.6/0.4,0.8180752864130209,0.8396498818067477,6.328806756513838,1.0693184883159068,2537,0.49389042175798187,39.19008872580185
2026-01-04,train,XGBoost,0.55/0.45,0.7910282438641217,0.8177959598882765,13.211838527604257,4.623855167545909,3945,0.5198986058301648,55.49273145738332
2026-01-04,train,XGBoost,0.6/0.4,0.7910282438641217,0.8177959598882765,14.386043658397973,4.523295259545113,4509,0.5098691505877134,55.953963927032824
2026-01-04,train,LightGBM,0.55/0.45,0.7910651021130185,0.8181072773751112,12.555718110734704,4.057034814048355,3926,0.5175751400916964,53.21455797730426
2026-01-04,train,LightGBM,0.6/0.4,0.7910651021130185,0.8181072773751112,14.429759844247902,4.570562205657924,4505,0.5081021087680355,55.40638331883017
2026-01-05,train,XGBoost,0.55/0.45,0.719335174515407,0.6933363344718271,22.92730757377621,5.593254093906408,7600,0.5289473684210526,65.84834034970827
2026-01-05,train,XGBoost,0.6/0.4,0.719335174515407,0.6933363344718271,28.229649348127793,7.906424722775873,8628,0.5397542883634677,85.20549926892483
2026-01-05,train,LightGBM,0.55/0.45,0.7195064933807642,0.693475432182911,22.71778551720778,5.474432809218177,7571,0.5283317923656056,65.22971764797353
2026-01-05,train,LightGBM,0.6/0.4,0.7195064933807642,0.693475432182911,29.570526617797487,8.967215609740965,8659,0.5320475805520268,87.97797955496405
2026-01-06,train,XGBoost,0.55/0.45,0.7454615067597666,0.7291472162550439,28.628093509768384,13.023652752557524,6467,0.5421370032472553,76.35536903141679
2026-01-06,train,XGBoost,0.6/0.4,0.7454615067597666,0.7291472162550439,30.97665353311203,12.745271224563126,7495,0.5470313542361575,89.50846293884877
2026-01-06,train,LightGBM,0.55/0.45,0.7452778799346504,0.72869819545164,29.78907119081471,14.199003243153374,6399,0.5500859509298328,83.27008232831248
2026-01-06,train,LightGBM,0.6/0.4,0.7452778799346504,0.72869819545164,30.216775408020304,12.306581157976293,7399,0.5495337207730775,87.42508414034954
2026-01-07,train,XGBoost,0.55/0.45,0.7262468710411779,0.7183020401689236,25.73634356720578,13.0487294301439,5319,0.5361910133483737,77.52710112561887
2026-01-07,train,XGBoost,0.6/0.4,0.7262468710411779,0.7183020401689236,29.727649021673308,14.435256662832941,6272,0.5521364795918368,93.26582520348643
2026-01-07,train,LightGBM,0.55/0.45,0.7253744563423403,0.7178539564208815,26.2043442737814,13.623934335935694,5251,0.5482765187583317,79.8781716840925
2026-01-07,train,LightGBM,0.6/0.4,0.7253744563423403,0.7178539564208815,30.65986382608763,15.338298501956071,6237,0.5456148789482123,95.78445095057887
2026-01-08,train,XGBoost,0.55/0.45,0.7130785091675745,0.698317134941443,25.22955214008875,10.910116383808987,6072,0.5469367588932806,72.66044059949868
2026-01-08,train,XGBoost,0.6/0.4,0.7130785091675745,0.698317134941443,31.769019519034213,13.899054117037224,7287,0.5474132015918759,93.31545456943165
