feature,correlation_with_ret5tick
bid_vol_band_10_25bps,0.009760790902277803
ask_size_L12,-0.009709484151470833
bid_vol_band_25_50bps,0.009605487895630004
micro_minus_mid,0.009081307988523675
bid_size_L18,0.008626197035529751
bid_size_L14,0.008272267006105167
bid_size_L5,0.007926173232761551
bid_size_L17,0.007914959650126752
ask_vol_band_10_25bps,-0.007596057639583685
ofi_sum_900s,0.007560056860872477
bid_size_L0,0.007520737071153188
bid_size_L1,0.007520737071153188
bid_vol_band_0_5bps,0.007520737071153188
mean_return_300s,0.006990493151417221
tfi_5s,-0.006920538456732008
ask_size_L8,-0.0068793650904223095
bid_vol_band_5_10bps,0.006842069411460257
spread_percentile,-0.006700314715695676
bid_size_L3,0.006682551045127548
bid_size_L13,0.006653733945346836
ask_size_L5,-0.006416869019829686
ask_size_L13,-0.0063636929933722376
bid_size_L6,0.006352864523562662
ask_vol_band_5_10bps,-0.00628043982585335
ask_size_L2,-0.006240081454958025
mlofi_sum_60s,0.006198172334972224
cog_momentum_mean_60s,-0.006194589640336553
mean_return_5s,-0.006182413596812133
trade_vol_60s,-0.0057482119210950635
ask_size_L19,-0.005728799387322814
ask_size_L18,-0.005693170147669136
trade_vol_15s,-0.00566300552236174
rv_300s,0.005581033441509616
ask_size_L11,-0.005577612169365281
bid_slope_simple,-0.005568216416453965
bid_slope,-0.005568216416453965
bid_size_L12,0.005567366690527615
ask_size_L6,-0.00556663236878624
bid_size_L10,0.0055469655576296075
bid_size_L11,0.005513617771604869
bid_size_L9,0.005102964264667321
ask_size_L7,-0.005029638465352475
trade_vol_300s,0.005025597644897685
ask_size_L9,-0.005020285778252459
spread_regime_tight_frac,0.004790098889338914
ask_size_L17,-0.0047780412816514585
ask_size_L14,-0.004758684576455143
ask_size_L10,-0.004573815953293112
mean_return_900s,-0.004531161891188092
mean_spread_300s,0.0041392473905243286
mid_accel,-0.004045430649135537
ofi_sum_60s,0.003997573721725062
bid_depth_decay_5,-0.0038979720342131137
kyle_lambda,0.003874599157477486
ask_size_L4,-0.0037749836082693984
bid_size_L8,0.0037602108704604042
mean_spread_60s,-0.0037575332032554133
rv_15s_right,-0.003645820426339032
rv_900s,-0.0035797335780291865
ask_slope_simple,0.0034921875516017113
ask_slope,0.0034921875516017113
ask_size_L16,-0.0034784009665122613
mean_spread_5s,0.003443485505460463
bid_size_L4,0.003389042117833159
bid_size_L2,0.0033075844839557675
ask_size_L3,-0.003280920531017211
ask_size_L15,-0.0032284488318489383
cog_momentum_std_60s,0.0029301914065779293
bid_size_L7,0.002876835371359266
hour_cos,0.0027841711236995417
spread_regime_wide_frac,-0.002779822271100277
rv_15s,-0.0025849156016541992
rv_900s_right,-0.0022463716026736484
rv_300s_right,0.001943619280679706
ask_size_L0,-0.0019412604360298988
ask_size_L1,-0.0019412604360298988
ask_vol_band_0_5bps,-0.0019412604360298988
cog_vs_mid,-0.0018766479895398988
kyle_lambda_r2,0.001762081824828597
avg_depth_decay_5,-0.001695219962129971
collected_at,-0.0016805418330374088
vpin,0.00150959497869828
