,AAVE-USD,ADA-USD,AVAX-USD,BCH-USD,BTC-USD,DOGE-USD,ETH-USD,FARTCOIN-USD,HBAR-USD,avg_abs
imbalance_L1,0.2506954084770364,0.442070309744318,0.47748396835999674,0.09253001453217573,0.06424757232282834,0.2539457198737869,0.08409801278200732,0.323957687598777,0.32532424969988205,0.25715032704342317
imbalance_L10,0.26084337117471,0.1373823126002401,0.03401746781148696,0.09986779918561497,0.09701130246882585,0.3533578659506064,0.16328608714852144,0.25244294062141237,0.3183427017700133,0.19072798319238127
imbalance_L3,0.29521701274324874,0.4290061414500953,0.335716398803361,0.10589982266602699,0.07625305069873571,0.3363036258495494,0.11706681790000609,0.3600696870733376,0.4082797771512049,0.27375692603728513
imbalance_L5,0.3191692488340828,0.3681514002815682,0.11441277027588488,0.10674023513446058,0.08640824299354725,0.3810964307326214,0.14439703392615952,0.33739263014993,0.4036011405153491,0.25126323698262265
kyle_lambda,0.001983496407268879,-0.00782506141177998,0.005845392045479794,-0.0017963162572448028,0.0013631089153682205,-0.00034694927666221857,0.002811380445356643,-0.007489707824057712,-0.002152436612279568,0.003512649910610869
kyle_lambda_r2,0.003968033463102569,0.002301887782543796,-0.00137526795822385,-0.003987684625573784,-0.0021659301408095723,-0.0021280814505424536,0.0023056027595455704,-0.001959681058098156,0.002464153273161943,0.0025173691679557433
lambda_like,-0.00605944791441279,-0.004458252892529555,-0.03494763005253937,-0.0013212234113457988,0.00015835160928825536,-0.004490544632519323,-0.004018513906079424,0.0004159350483952452,-0.01956773774437822,0.00838195969016533
log_return,0.027884834081461064,0.006417373023985191,-0.026696703502954867,-0.018689776444122876,0.02421767230688754,0.027621715612198346,0.025449211589999618,0.027910208788824244,0.019824206157879325,0.022745744612034786
mean_return_15s,0.04462206195079173,0.0044314180524447355,-0.06172596623995937,-0.009860976614652977,0.01952625060441619,-0.01059208897144836,0.017493945027301245,0.04900460407373583,0.025335479856876012,0.026954754599069607
mean_return_300s,0.013710113809883875,0.0010762784482177316,-0.019508948961378652,0.011954813025858785,0.001547191013561868,0.006071801213778271,-0.005092952460248612,0.008071681640870194,0.0010488512575189568,0.007564736870146328
mean_return_5s,0.05341112020725363,-0.0006433410756597676,-0.06396510497510559,0.01534650331584371,0.03074933761154155,-0.016691536465337796,0.02648864042874446,0.03729553593731878,0.022460157153320573,0.02967236413001399
mean_return_60s,0.03868635548852803,-0.004648468388855965,-0.0419899900312542,0.025675849669187897,0.02665735328696872,0.003650457785245055,0.01502521346922295,0.03706171821669434,0.019785772614760465,0.023686797661190848
mean_return_900s,0.009526952592239004,0.012887832483022738,-0.008373380168404141,0.006369701352540546,0.004654505162335076,0.007653636052625868,0.002697815266962196,0.011893825886579633,0.005505382408981686,0.007729225708187876
mean_spread_15s,-0.003740095697630862,0.004798588405948798,0.005382811816459536,0.012013377099478813,0.011334641158520292,-0.014078773211741431,0.012958539312029805,0.011163903154410747,-0.0039217320935238924,0.008821384661082687
mean_spread_300s,0.0006626717348558847,0.004500188107816705,0.008465709123027926,0.005301983095955037,0.007528809837146974,-0.00477410349413692,0.012847007117966375,0.003608875471627923,-0.001480023144730266,0.00546326345858489
mean_spread_5s,0.0029575302476709136,0.008664232778730397,0.000866195473725995,0.0039017044598715933,0.012466835397294927,-0.019321420095393886,0.0072741103618673,0.0069750576910543975,-0.008035869772467773,0.007829217364230798
